t,S_a,I_a,S_h,I_h,R_h
1.951951951951951924e+04,4.988931035175330180e+04,7.417019941141850268e+02,3.257288111780186882e+05,4.709517153276222956e+01,4.998698417985796550e+04
1.961961961961962152e+04,4.988929507355203532e+04,7.418689126098479392e+02,3.266201183823964675e+05,4.714300823174056632e+01,5.026246304150240758e+04
1.971971971971972016e+04,4.988928027366453171e+04,7.420306349494416054e+02,3.275071018027419923e+05,4.719044201627065860e+01,5.053734169598769950e+04
1.981981981981982244e+04,4.988926593725060957e+04,7.421873208046765740e+02,3.283897853807099746e+05,4.723747879130633009e+01,5.081161850122670876e+04
1.991991991991992109e+04,4.988925204979856062e+04,7.423391260856038798e+02,3.292681928818400484e+05,4.728412435718138340e+01,5.108529186842950003e+04
2.002002002002001973e+04,4.988923859724380600e+04,7.424862019997681273e+02,3.301423478783108294e+05,4.733038438767194123e+01,5.135836027187273430e+04
2.012012012012012201e+04,4.988922556596289360e+04,7.426286951304466584e+02,3.310122737507545971e+05,4.737626443179139812e+01,5.163082224804458383e+04
2.022022022022022065e+04,4.988921294286355987e+04,7.427667466369985050e+02,3.318779936737556709e+05,4.742176989665981779e+01,5.190267640386962739e+04
2.032032032032032294e+04,4.988920071517476754e+04,7.429004941415362282e+02,3.327395306513332762e+05,4.746690608907324105e+01,5.217392139711152413e+04
2.042042042042042158e+04,4.988918887049933255e+04,7.430300712760169972e+02,3.335969075088792597e+05,4.751167820578125855e+01,5.244455594101472525e+04
2.052052052052052022e+04,4.988917739683358377e+04,7.431556075229273119e+02,3.344501468905613874e+05,4.755609133020107748e+01,5.271457880590450077e+04
2.062062062062062250e+04,4.988916628263291932e+04,7.432772276220309777e+02,3.352992712490710546e+05,4.760015041903888999e+01,5.298398882503489585e+04
2.072072072072072115e+04,4.988915551665756357e+04,7.433950529948466510e+02,3.361443028719243011e+05,4.764386033452218783e+01,5.325278488012036541e+04
2.082082082082082343e+04,4.988914508797992312e+04,7.435092016897094709e+02,3.369852638809026685e+05,4.768722584327148439e+01,5.352096590179850318e+04
2.092092092092092207e+04,4.988913498602384789e+04,7.436197880337299466e+02,3.378221762261715485e+05,4.773025160856258253e+01,5.378853087305079680e+04
2.102102102102102072e+04,4.988912520061218675e+04,7.437269222179878625e+02,3.386550616795613896e+05,4.777294218166473172e+01,5.405547883307610755e+04
2.112112112112112300e+04,4.988911572185465775e+04,7.438307113263102792e+02,3.394839418532436830e+05,4.781530202446518274e+01,5.432180886707648460e+04
